vulpinekl,Zombie Detective,8.1,8.0,8.0,8.0,2.0,1.0
achuland,Zombie Detective,8.1,8.0,9.0,10,8.0,8.5
FantasmaKing,Zombie Detective,8.1,8.5,9.0,10,9.0,6.0
Andy,Zombie Detective,8.1,10,10,9.5,7.5,7.0
hey887984,Youth over Flowers: Iceland,8.1,10,10,10,10,10
kjshell213,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
Venfrost,Our Skyy 2: Vice Versa,8.1,9.0,9.0,9.0,8.0,9.0
Love tigress,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
LightHouse74,Our Skyy 2: Vice Versa,8.1,9.0,9.0,10,8.0,6.0
RoseQ,Our Skyy 2: Vice Versa,8.1,9.0,9.0,10,10,7.0
Furrina,Our Skyy 2: Vice Versa,8.1,3.5,5.5,10,9.5,3.0
BurntBaguettes,Our Skyy 2: Vice Versa,8.1,8.5,6.5,9.5,7.0,8.5
Sakura_Falling,Our Skyy 2: Vice Versa,8.1,9.0,9.0,9.5,8.0,9.0
CrazyAsian123,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
violetstarpz,Our Skyy 2: Vice Versa,8.1,9.5,10,10,7.0,9.0
zyxsln,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
ivini,Our Skyy 2: Vice Versa,8.1,9.5,8.5,9.0,10,9.0
Mashaery,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
Lavenne,Our Skyy 2: Vice Versa,8.1,7.0,7.0,9.5,10,7.0
Blue Berrii,Our Skyy 2: Vice Versa,8.1,1.0,1.0,1.0,1.0,1.0
drucross_,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
Fondueforkharpoon,Our Skyy 2: Vice Versa,8.1,10,10,10,10,10
Lizzindagi,Our Skyy 2: Vice Versa,8.1,7.5,7.5,9.5,9.0,7.5
EymiLaritzaJorgeCastillo,Our Skyy 2: Vice Versa,8.1,7.0,7.0,7.5,6.5,6.0
Vixen96,The Uncanny Return,8.1,7.0,7.0,7.0,7.0,7.0
MimiTheReaper,Jack & Joker: U Steal My Heart! Special Episode,8.1,5.5,3.5,6.5,7.5,5.0
hamalamajama,Jack & Joker: U Steal My Heart! Special Episode,8.1,3.0,3.0,5.0,5.0,2.0
Eliot_Rulez,Jack & Joker: U Steal My Heart! Special Episode,8.1,1.5,1.0,5.0,7.0,1.0
becomingwren,Jack & Joker: U Steal My Heart! Special Episode,8.1,7.5,5.0,7.0,6.0,2.0
DramaloverPanda,Jack & Joker: U Steal My Heart! Special Episode,8.1,7.0,5.0,8.0,9.0,5.0
BL Compilations,Jack & Joker: U Steal My Heart! Special Episode,8.1,6.5,5.0,8.5,8.0,2.5
Uuki,Jack & Joker: U Steal My Heart! Special Episode,8.1,7.5,6.0,9.0,7.0,8.0
Komentator isenk,Jack & Joker: U Steal My Heart! Special Episode,8.1,2.0,2.0,4.0,5.0,1.0
Yuku,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,10,10,10,10
Taqqiz,Jack & Joker: U Steal My Heart! Special Episode,8.1,8.0,7.5,10,8.5,6.0
brizyskies,Jack & Joker: U Steal My Heart! Special Episode,8.1,9.0,9.0,10,8.0,7.5
Semantic3rror,Jack & Joker: U Steal My Heart! Special Episode,8.1,5.0,2.0,10,10,2.0
serelieus,Jack & Joker: U Steal My Heart! Special Episode,8.1,1.0,1.0,6.0,2.0,1.0
LadyWolf,Jack & Joker: U Steal My Heart! Special Episode,8.1,6.0,4.5,8.5,8.0,2.5
new_mclarens,Jack & Joker: U Steal My Heart! Special Episode,8.1,7.0,3.0,9.0,7.0,3.0
Anjali C B,Jack & Joker: U Steal My Heart! Special Episode,8.1,9.5,1.0,10,10,2.0
Akira91,Jack & Joker: U Steal My Heart! Special Episode,8.1,8.5,7.5,8.5,7.5,6.0
Sabrina,Jack & Joker: U Steal My Heart! Special Episode,8.1,9.0,8.0,9.0,8.0,8.5
Hikki07,Jack & Joker: U Steal My Heart! Special Episode,8.1,9.0,10,10,8.5,8.0
Multilicus,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,9.5,9.5,10,10
Cyril-H,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,10,10,10,10
Totallylovebl,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,10,10,10,10
mikkopi,Jack & Joker: U Steal My Heart! Special Episode,8.1,9.5,9.5,10,10,9.5
VixenByNight72,Jack & Joker: U Steal My Heart! Special Episode,8.1,9.0,9.5,10,6.5,10
wowo_anw,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,10,10,10,10
BHappy,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,10,10,8.0,9.5
Mirella18,Jack & Joker: U Steal My Heart! Special Episode,8.1,10,9.5,10,10,7.0
Lex,Koisenu Futari,8.1,10,10,10,9.0,10
SakuraPrincess,Koisenu Futari,8.1,10,10,10,10,10
dollopheadsandclotpoles,Koisenu Futari,8.1,9.5,9.5,10,8.5,10
AthenaTheStorierX,Koisenu Futari,8.1,9.0,8.5,10,7.0,8.0
Zzzvicc,Koisenu Futari,8.1,10,10,9.0,8.0,10
